epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1145,1.331,2.91633,3.13094,0.0058,1,0.43861,0.364,1.11923,2.97524,3.80024,0.000660661,0.000660661,0.000660661
2,85.4714,0.43562,1.37917,1.32865,0.08827,0.75668,0.09089,0.06625,0.9377,2.88237,2.46468,0.00119592,0.00119592,0.00119592
3,108.253,0.2537,1.08221,1.08574,0.41627,0.74481,0.48217,0.37077,1.0346,3.38008,2.59482,0.00159918,0.00159918,0.00159918
4,130.914,0.21091,0.95388,1.02884,0.39662,0.54006,0.43518,0.34447,0.90965,2.24192,2.8588,0.001406,0.001406,0.001406
5,153.531,0.15784,0.81809,0.97912,0.6036,0.59644,0.64608,0.52286,0.89172,1.57136,2.37858,0.001208,0.001208,0.001208
6,176.105,0.13353,0.90276,0.95129,0.68024,0.76558,0.77438,0.65373,1.15619,1.40955,3.64598,0.00101,0.00101,0.00101
7,204.748,0.11311,0.63256,0.94593,0.68802,0.76566,0.75149,0.60044,1.21549,1.7729,3.7219,0.000812,0.000812,0.000812
8,227.303,0.0939,0.5226,0.93523,0.82907,0.8635,0.9209,0.74086,0.87978,0.91144,3.13078,0.000614,0.000614,0.000614
9,250.092,0.08333,0.43775,0.92882,0.88429,0.86176,0.93471,0.78389,0.85413,0.7544,3.14463,0.000416,0.000416,0.000416
10,272.942,0.07108,0.35384,0.92158,0.91342,0.85163,0.93642,0.78808,0.83055,0.69984,3.26454,0.000218,0.000218,0.000218
