epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1472,2.75052,3.0895,3.68369,0.01032,1,0.03381,0.01823,2.09745,4.55004,2.93072,0.000660661,0.000660661,0.000660661
2,65.5365,1.08564,1.67383,1.85182,0.34191,0.92582,0.36862,0.24614,1.10241,2.12355,2.36115,0.00126162,0.00126162,0.00126162
3,88.8866,0.66408,1.33104,1.36764,0.17561,0.87537,0.17638,0.10893,1.05652,2.77903,2.40499,0.00179659,0.00179659,0.00179659
4,111.781,0.50786,1.19376,1.19931,0.42976,0.7092,0.52021,0.38152,0.9218,1.48847,2.13025,0.001703,0.001703,0.001703
5,135.7,0.43404,1.11192,1.12118,0.61872,0.54006,0.66078,0.51852,0.77419,1.49371,1.83248,0.001604,0.001604,0.001604
6,170.21,0.36963,1.03824,1.06357,0.60808,0.72107,0.66542,0.48347,0.89516,1.20778,1.88917,0.001505,0.001505,0.001505
7,201.954,0.33479,1.00701,1.03248,0.64053,0.72439,0.72065,0.57427,0.80216,1.16071,1.89987,0.001406,0.001406,0.001406
8,230.587,0.30407,0.96561,1.01025,0.5171,0.80415,0.62773,0.50751,0.80089,2.10327,1.94183,0.001307,0.001307,0.001307
9,268.048,0.27812,0.91551,0.9885,0.70968,0.68185,0.74328,0.60998,0.7949,1.20406,1.77697,0.001208,0.001208,0.001208
10,304.739,0.25921,0.87502,0.97827,0.71725,0.81296,0.83327,0.68636,0.61462,0.93097,1.58082,0.001109,0.001109,0.001109
11,361.391,0.13475,0.71615,0.94349,0.41092,0.97923,0.4298,0.37436,0.87046,5.04378,2.37481,0.00101,0.00101,0.00101
12,392.204,0.10521,0.56485,0.93257,0.85997,0.88427,0.92595,0.81685,0.5727,0.76219,1.58221,0.000911,0.000911,0.000911
13,423.926,0.09478,0.47966,0.92602,0.60371,0.83086,0.74313,0.65186,0.69506,1.35575,1.97848,0.000812,0.000812,0.000812
14,457.244,0.08567,0.41718,0.92172,0.40176,0.9822,0.64868,0.58542,0.52811,2.6503,1.47251,0.000713,0.000713,0.000713
15,488.751,0.07695,0.36047,0.91822,0.83865,0.78932,0.90131,0.80566,0.62964,1.01302,1.92745,0.000614,0.000614,0.000614
16,525.021,0.07297,0.32406,0.91487,0.80839,0.94362,0.92947,0.81968,0.59172,0.77625,1.75722,0.000515,0.000515,0.000515
17,560.862,0.06719,0.29833,0.91277,0.8261,0.89318,0.9251,0.81745,0.58708,0.74485,1.69635,0.000416,0.000416,0.000416
18,593.414,0.06007,0.28082,0.90949,0.89892,0.95005,0.9572,0.84918,0.58075,0.59464,1.70164,0.000317,0.000317,0.000317
19,624.973,0.05512,0.20908,0.9112,0.9459,0.91098,0.97377,0.87035,0.57544,0.59725,1.65108,0.000218,0.000218,0.000218
20,659.759,0.05187,0.17463,0.90518,0.91985,0.95354,0.97031,0.84694,0.59002,0.58908,1.78247,0.000119,0.000119,0.000119
