epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6659,2.39004,2.54653,3.30167,0.32377,0.67953,0.28752,0.19735,1.23071,2.52347,2.76032,0.000662069,0.000662069,0.000662069
2,145.493,0.72338,1.1687,1.486,0.34942,0.91988,0.37798,0.22383,1.17766,1.8124,2.3499,0.00130243,0.00130243,0.00130243
3,216.309,0.49251,1.00328,1.19453,0.35822,0.95846,0.45624,0.29779,0.90348,1.792,2.05225,0.00191638,0.00191638,0.00191638
4,287.316,0.38785,0.93008,1.07912,0.35189,0.94362,0.35323,0.23635,1.10229,1.61354,2.28224,0.0018812,0.0018812,0.0018812
5,380.253,0.3246,0.90142,1.01899,0.37746,0.96736,0.49278,0.35257,0.84709,1.45179,2.02497,0.0018416,0.0018416,0.0018416
6,475.766,0.2788,0.88078,0.98548,0.36878,0.96043,0.487,0.40888,0.69243,1.37863,1.77669,0.001802,0.001802,0.001802
7,570.867,0.25297,0.86373,0.96697,0.37805,0.95846,0.47982,0.38772,0.78896,1.39868,1.91558,0.0017624,0.0017624,0.0017624
8,665.96,0.22674,0.85689,0.94914,0.36872,0.95153,0.40885,0.34101,0.60565,1.3145,1.60876,0.0017228,0.0017228,0.0017228
9,761.864,0.21309,0.85212,0.94213,0.36736,0.94659,0.45231,0.33435,0.63282,1.27074,1.64348,0.0016832,0.0016832,0.0016832
10,855.974,0.19964,0.84367,0.93494,0.37698,0.95549,0.37262,0.33343,0.46816,1.3412,1.46648,0.0016436,0.0016436,0.0016436
11,951.457,0.19551,0.83473,0.93087,0.37963,0.94659,0.39239,0.32711,0.41332,1.3678,1.39821,0.001604,0.001604,0.001604
12,1047.34,0.18074,0.8281,0.9202,0.38219,0.97033,0.40401,0.35188,0.49585,1.28994,1.45067,0.0015644,0.0015644,0.0015644
13,1142.67,0.17623,0.83286,0.92132,0.3768,0.96736,0.4973,0.399,0.52338,1.31644,1.57222,0.0015248,0.0015248,0.0015248
14,1238.55,0.1679,0.82061,0.91711,0.37099,0.92285,0.40038,0.29044,0.46778,1.42995,1.48244,0.0014852,0.0014852,0.0014852
15,1329.35,0.16554,0.81498,0.91546,0.37864,0.94955,0.40397,0.36402,0.45102,1.38882,1.45458,0.0014456,0.0014456,0.0014456
16,1365.06,0.15702,0.80914,0.9117,0.39069,0.97329,0.42469,0.38314,0.36717,1.24077,1.36585,0.001406,0.001406,0.001406
17,1408.56,0.15313,0.80723,0.90989,0.35583,0.90478,0.38549,0.32979,0.47876,1.37858,1.42717,0.0013664,0.0013664,0.0013664
18,1452.74,0.14767,0.8068,0.9084,0.38937,0.97824,0.39024,0.3372,0.32603,1.19855,1.29856,0.0013268,0.0013268,0.0013268
