epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.023,2.94529,3.71093,3.94424,0.20969,0.4832,0.22652,0.09847,2.11444,2.70316,3.21009,0.0033302,0.0033302,0.0033302
2,205.424,1.38151,2.47991,2.2453,0.231,0.84031,0.27539,0.21448,0.97537,1.95775,2.07172,0.00659756,0.00659756,0.00659756
3,301.675,0.71217,1.92889,1.42245,0.22837,0.95112,0.29631,0.24888,0.69904,1.67826,1.63915,0.00979893,0.00979893,0.00979893
4,396.152,0.55411,1.7798,1.23128,0.12587,0.46761,0.24507,0.18203,0.73128,1.72179,1.71591,0.009703,0.009703,0.009703
5,491.747,0.45145,1.69035,1.11832,0.26648,0.79934,0.3909,0.34349,0.56189,1.49407,1.56652,0.009604,0.009604,0.009604
6,587.886,0.40327,1.67046,1.0777,0.28174,0.88559,0.47276,0.41042,0.58852,1.38712,1.50789,0.009505,0.009505,0.009505
7,683.289,0.37262,1.6032,1.04712,0.4477,0.79633,0.49285,0.44177,0.4716,1.49422,1.32395,0.009406,0.009406,0.009406
8,780.056,0.34502,1.55435,1.02603,0.50134,0.84181,0.56685,0.52271,0.3969,1.22995,1.33042,0.009307,0.009307,0.009307
9,875.728,0.31603,1.47503,1.00247,0.4672,0.74362,0.57123,0.50238,0.50325,1.15028,1.46778,0.009208,0.009208,0.009208
10,971.23,0.30359,1.48921,0.99579,0.42881,0.86567,0.56808,0.49547,0.48373,1.23868,1.28839,0.009109,0.009109,0.009109
11,1067.74,0.28932,1.41857,0.98306,0.45975,0.80327,0.50867,0.45879,0.43355,1.33061,1.27663,0.00901,0.00901,0.00901
12,1162.4,0.28132,1.41381,0.97964,0.53116,0.77214,0.55074,0.5025,0.39878,1.26443,1.29515,0.008911,0.008911,0.008911
13,1258.62,0.26994,1.43843,0.97321,0.43977,0.81758,0.55997,0.54533,0.27098,1.19402,1.18355,0.008812,0.008812,0.008812
14,1353.93,0.26185,1.37822,0.96749,0.53249,0.81958,0.60103,0.55723,0.34966,1.22125,1.19385,0.008713,0.008713,0.008713
15,1449.2,0.25837,1.36956,0.96434,0.54849,0.80089,0.58878,0.56502,0.3257,1.05425,1.19951,0.008614,0.008614,0.008614
16,1545.22,0.24792,1.33752,0.96057,0.53521,0.85453,0.5876,0.53222,0.36349,1.18447,1.28422,0.008515,0.008515,0.008515
17,1640.27,0.24288,1.34492,0.95303,0.45194,0.8654,0.57683,0.55485,0.31195,1.06374,1.1961,0.008416,0.008416,0.008416
18,1736.67,0.23694,1.3275,0.95061,0.49255,0.88013,0.596,0.58228,0.21773,1.05375,1.11682,0.008317,0.008317,0.008317
19,1837.5,0.23517,1.33794,0.95434,0.45527,0.84233,0.53713,0.51662,0.22556,1.35004,1.12775,0.008218,0.008218,0.008218
20,1937.01,0.22682,1.32363,0.94647,0.51802,0.85413,0.60664,0.56954,0.26674,1.06588,1.14419,0.008119,0.008119,0.008119
21,2039.24,0.2211,1.30388,0.94156,0.52532,0.87498,0.58327,0.56928,0.3134,1.11042,1.17042,0.00802,0.00802,0.00802
22,2141.49,0.21921,1.29659,0.94137,0.49215,0.88512,0.59406,0.58635,0.17186,0.95712,1.08722,0.007921,0.007921,0.007921
23,2242.11,0.21187,1.28917,0.93904,0.49557,0.91468,0.58258,0.53858,0.31081,1.13823,1.20578,0.007822,0.007822,0.007822
24,2338.87,0.20571,1.27444,0.9376,0.50156,0.89257,0.59707,0.58397,0.26831,1.15252,1.13204,0.007723,0.007723,0.007723
25,2432.42,0.20826,1.28888,0.93432,0.47761,0.84001,0.60644,0.5847,0.24045,1.04498,1.13448,0.007624,0.007624,0.007624
26,2528.19,0.2013,1.28593,0.93394,0.48315,0.88671,0.60713,0.58884,0.24564,1.01259,1.14702,0.007525,0.007525,0.007525
27,2623.69,0.20013,1.26143,0.9295,0.50135,0.90503,0.61125,0.56881,0.27992,1.05873,1.19976,0.007426,0.007426,0.007426
28,2718.46,0.19697,1.26347,0.93035,0.51677,0.86798,0.6055,0.58906,0.22622,1.01698,1.13091,0.007327,0.007327,0.007327
29,2811.72,0.19414,1.25649,0.9288,0.51367,0.8736,0.60242,0.59063,0.25254,1.10844,1.13686,0.007228,0.007228,0.007228
30,2906.98,0.19053,1.2632,0.92332,0.51031,0.87644,0.58471,0.54662,0.27053,1.15195,1.14152,0.007129,0.007129,0.007129
31,3003.05,0.18388,1.23683,0.92144,0.49924,0.91893,0.5923,0.56183,0.28829,1.03783,1.18929,0.00703,0.00703,0.00703
32,3098.36,0.18202,1.24781,0.92376,0.50858,0.89959,0.61719,0.60678,0.20967,1.01353,1.11564,0.006931,0.006931,0.006931
33,3194.91,0.18124,1.23198,0.91949,0.50519,0.87516,0.61192,0.59208,0.23365,1.08045,1.1263,0.006832,0.006832,0.006832
34,3290.43,0.17998,1.22601,0.92045,0.49029,0.90957,0.6073,0.59005,0.22137,1.11857,1.11972,0.006733,0.006733,0.006733
35,3386.42,0.17979,1.22528,0.92258,0.53597,0.87203,0.63658,0.58913,0.19852,1.08875,1.11971,0.006634,0.006634,0.006634
36,3482.51,0.17765,1.23495,0.92172,0.52647,0.8848,0.64856,0.62533,0.24273,1.11541,1.13062,0.006535,0.006535,0.006535
37,3578.31,0.17607,1.21662,0.91554,0.49972,0.89694,0.58752,0.56995,0.21127,1.14392,1.13493,0.006436,0.006436,0.006436
38,3674.44,0.17302,1.2199,0.91823,0.51364,0.89116,0.62269,0.61286,0.21462,1.04051,1.1093,0.006337,0.006337,0.006337
39,3770.71,0.17066,1.21495,0.9151,0.53507,0.84592,0.62262,0.59994,0.21158,1.10255,1.11456,0.006238,0.006238,0.006238
40,3866.52,0.17063,1.2024,0.91528,0.52084,0.86059,0.62517,0.60889,0.22265,1.08879,1.11963,0.006139,0.006139,0.006139
41,3962.11,0.16904,1.21347,0.91847,0.50728,0.89399,0.60568,0.59952,0.18935,0.98385,1.10031,0.00604,0.00604,0.00604
42,4057.77,0.16569,1.23051,0.91373,0.5222,0.89694,0.62747,0.59218,0.22826,1.04158,1.17748,0.005941,0.005941,0.005941
43,4154.34,0.16302,1.22279,0.9138,0.52039,0.88822,0.6337,0.61535,0.24195,1.02986,1.13558,0.005842,0.005842,0.005842
44,4250.63,0.16248,1.21743,0.91496,0.51857,0.88631,0.62076,0.59445,0.197,1.05742,1.10213,0.005743,0.005743,0.005743
45,4350.79,0.16087,1.20255,0.91806,0.53486,0.85125,0.63949,0.63307,0.18532,0.99301,1.08892,0.005644,0.005644,0.005644
