epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5151,0.70393,1.25129,1.48764,0.32146,0.60897,0.42636,0.14622,2.16449,2.11963,3.46249,8.335e-05,8.335e-05,8.335e-05
2,44.5582,0.59803,0.98924,1.3792,0.24872,0.8396,0.48492,0.29661,1.45479,1.83551,3.19536,0.000179739,0.000179739,0.000179739
3,63.9831,0.83196,0.99107,1.49621,0.31474,0.96294,0.44704,0.31378,1.15087,1.721,2.98569,0.000272168,0.000272168,0.000272168
4,81.0384,0.59907,0.97491,1.49276,0.2964,1,0.53729,0.41377,0.96137,1.9748,2.90068,0.000360635,0.000360635,0.000360635
5,98.7107,0.6774,1.01262,1.51744,0.33132,1,0.56949,0.46132,0.81358,1.89649,2.79941,0.000445142,0.000445142,0.000445142
6,116.085,0.50941,0.85416,1.44187,0.38191,1,0.58261,0.51229,0.77092,1.78695,2.74292,0.000525688,0.000525688,0.000525688
7,133.838,0.49589,0.97256,1.48893,0.38825,1,0.49421,0.39606,0.90453,1.54005,2.74933,0.000602274,0.000602274,0.000602274
8,151.457,0.55611,0.99192,1.44067,0.38952,1,0.52752,0.43433,0.84936,1.44255,2.71162,0.000674898,0.000674898,0.000674898
9,169.085,0.55902,1.0858,1.45782,0.39006,1,0.54251,0.46422,0.79582,1.33976,2.65346,0.000743562,0.000743562,0.000743562
10,187.333,0.43272,1.03587,1.42297,0.38992,1,0.55247,0.47726,0.63411,1.29903,2.51274,0.000808265,0.000808265,0.000808265
11,204.583,0.54983,0.92346,1.4175,0.39009,1,0.52682,0.46199,0.5282,1.316,2.32803,0.000869007,0.000869007,0.000869007
12,226.369,0.46088,0.87573,1.37347,0.3903,1,0.52168,0.50597,0.51447,1.37736,2.16538,0.000925788,0.000925788,0.000925788
13,246.348,0.50407,0.96449,1.3851,0.39035,1,0.47605,0.46218,0.55824,1.35898,2.06864,0.000978609,0.000978609,0.000978609
14,268.162,0.48913,0.92705,1.37366,0.38982,1,0.48152,0.46688,0.55885,1.40379,2.03107,0.00102747,0.00102747,0.00102747
15,289.419,0.4842,0.91528,1.33225,0.38982,1,0.48152,0.46688,0.55885,1.40379,2.03107,0.00107237,0.00107237,0.00107237
16,309.324,0.39745,0.88686,1.27583,0.39029,1,0.47985,0.44673,0.65921,1.38564,2.06513,0.00111331,0.00111331,0.00111331
17,327.013,0.59175,0.97562,1.361,0.39031,1,0.44181,0.39257,0.7423,1.3494,2.06476,0.00113889,0.00113889,0.00113889
18,345.303,0.5857,0.98776,1.395,0.39048,1,0.48149,0.45821,0.54907,1.37162,1.86443,0.00110589,0.00110589,0.00110589
19,363.969,0.53558,0.99017,1.33764,0.39048,1,0.48149,0.45821,0.54907,1.37162,1.86443,0.00107288,0.00107288,0.00107288
20,381.101,0.4508,0.97317,1.33554,0.39024,1,0.44134,0.42211,0.50516,1.40756,1.77688,0.00103987,0.00103987,0.00103987
21,401.47,0.5684,0.91316,1.32796,0.38987,1,0.53708,0.49054,0.4889,1.41985,1.73379,0.00100687,0.00100687,0.00100687
22,429.322,0.47489,0.99636,1.38115,0.38956,1,0.59525,0.52344,0.56495,1.40425,1.7468,0.000973861,0.000973861,0.000973861
23,452.071,0.50046,0.98159,1.35005,0.38956,1,0.59525,0.52344,0.56495,1.40425,1.7468,0.000940855,0.000940855,0.000940855
24,485.502,0.42548,0.97591,1.32875,0.38928,1,0.49302,0.45557,0.46643,1.30477,1.51655,0.000907848,0.000907848,0.000907848
25,502.178,0.52091,0.94991,1.30289,0.3892,1,0.47928,0.47764,0.43482,1.24895,1.43016,0.000874842,0.000874842,0.000874842
26,520.105,0.43657,0.88716,1.28643,0.38922,1,0.46973,0.46546,0.3849,1.25201,1.37449,0.000841835,0.000841835,0.000841835
27,536.825,0.39364,0.94648,1.27226,0.38922,1,0.46973,0.46546,0.3849,1.25201,1.37449,0.000808828,0.000808828,0.000808828
28,554.644,0.42963,0.9233,1.3278,0.38916,1,0.66104,0.6293,0.40295,1.23545,1.37058,0.000775822,0.000775822,0.000775822
29,571.856,0.52678,1.01199,1.3529,0.38952,1,0.59881,0.57795,0.44748,1.22224,1.38049,0.000742815,0.000742815,0.000742815
30,589.021,0.44264,0.90237,1.28419,0.38986,1,0.56186,0.53112,0.43974,1.22804,1.32411,0.000709809,0.000709809,0.000709809
31,607.099,0.62268,0.99276,1.34106,0.38986,1,0.56186,0.53112,0.43974,1.22804,1.32411,0.000676802,0.000676802,0.000676802
32,623.811,0.43995,0.84465,1.28399,0.3903,1,0.47801,0.45924,0.42275,1.24639,1.26952,0.000643795,0.000643795,0.000643795
33,641.729,0.45254,0.9339,1.30122,0.3904,1,0.53089,0.46977,0.42931,1.2597,1.21117,0.000610789,0.000610789,0.000610789
34,658.456,0.43009,0.93663,1.30399,0.39049,1,0.53683,0.47641,0.42847,1.23755,1.16471,0.000577782,0.000577782,0.000577782
35,676.084,0.41429,0.88226,1.31288,0.39049,1,0.53683,0.47641,0.42847,1.23755,1.16471,0.000544776,0.000544776,0.000544776
36,693.625,0.46705,0.96831,1.25129,0.39047,1,0.59925,0.55195,0.40335,1.21217,1.11034,0.000511769,0.000511769,0.000511769
37,710.887,0.4197,0.99654,1.23564,0.39049,1,0.59343,0.57924,0.37342,1.19718,1.07275,0.000478762,0.000478762,0.000478762
38,731.902,0.33153,0.83251,1.25955,0.3905,1,0.57456,0.56318,0.35652,1.20184,1.05633,0.000445756,0.000445756,0.000445756
39,749.134,0.38256,0.97697,1.24309,0.3905,1,0.57456,0.56318,0.35652,1.20184,1.05633,0.000412749,0.000412749,0.000412749
40,767.167,0.39959,0.82889,1.24433,0.39031,1,0.53891,0.53206,0.35195,1.21271,1.05213,0.000379743,0.000379743,0.000379743
41,785.397,0.29951,1.37543,1.33259,0.39008,1,0.48968,0.48773,0.33752,1.21719,1.07695,0.000346736,0.000346736,0.000346736
42,802.518,0.2885,1.30056,1.34895,0.38968,1,0.56585,0.56585,0.33122,1.22541,1.09332,0.000313729,0.000313729,0.000313729
43,820.637,0.27984,1.33401,1.30834,0.38968,1,0.56585,0.56585,0.33122,1.22541,1.09332,0.000280723,0.000280723,0.000280723
44,837.656,0.26319,1.16549,1.34985,0.38944,1,0.6433,0.6433,0.30969,1.21637,1.0833,0.000247716,0.000247716,0.000247716
45,855.833,0.2418,1.17487,1.27736,0.38875,1,0.71769,0.71132,0.32499,1.21629,1.09496,0.00021471,0.00021471,0.00021471
46,874.362,0.24478,1.1918,1.25515,0.38815,1,0.70541,0.69958,0.35275,1.22514,1.10284,0.000181703,0.000181703,0.000181703
47,891.698,0.27632,1.04621,1.40161,0.38815,1,0.70541,0.69958,0.35275,1.22514,1.10284,0.000148696,0.000148696,0.000148696
48,909.866,0.31634,1.15918,1.35958,0.38713,1,0.62554,0.61094,0.37225,1.22608,1.12223,0.00011569,0.00011569,0.00011569
49,926.825,0.26194,1.09932,1.38771,0.3873,1,0.5842,0.56234,0.36934,1.22476,1.11684,8.26832e-05,8.26832e-05,8.26832e-05
50,945.248,0.21452,1.05328,1.21676,0.38727,1,0.53862,0.51436,0.36445,1.22112,1.12238,4.96766e-05,4.96766e-05,4.96766e-05
