epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.346,2.98743,3.41789,4.0221,0.17597,0.56367,0.18799,0.06279,2.55937,3.34254,3.68045,0.00331731,0.00331731,0.00331731
2,237.674,1.33564,1.83005,2.26685,0.3296,0.968,0.42842,0.32649,1.15007,1.89109,2.85905,0.00651896,0.00651896,0.00651896
3,352.024,0.53909,1.29186,1.25605,0.39018,0.78769,0.49693,0.35057,1.10861,2.17432,2.50917,0.00958861,0.00958861,0.00958861
4,475.252,0.40799,1.13127,1.08644,0.45165,0.77877,0.51333,0.4256,0.62475,1.5304,1.603,0.009406,0.009406,0.009406
5,586.36,0.3344,1.02877,1.01961,0.4995,0.78899,0.55826,0.4556,0.70505,1.60711,1.78879,0.009208,0.009208,0.009208
6,715.061,0.29198,0.98747,0.98646,0.53049,0.78444,0.58066,0.50019,0.52618,1.35071,1.45922,0.00901,0.00901,0.00901
7,844.513,0.26177,0.95392,0.96718,0.50488,0.74167,0.5384,0.47056,0.53158,1.17398,1.46109,0.008812,0.008812,0.008812
8,965.368,0.24246,0.9287,0.9535,0.53526,0.84053,0.59479,0.52911,0.46329,1.36473,1.38785,0.008614,0.008614,0.008614
9,1076,0.22775,0.92029,0.94322,0.5709,0.84487,0.64798,0.59275,0.38147,1.22115,1.29557,0.008416,0.008416,0.008416
10,1177.26,0.21243,0.90997,0.93688,0.56402,0.80057,0.58905,0.51937,0.43126,1.2141,1.3561,0.008218,0.008218,0.008218
11,1278.36,0.20316,0.89744,0.93305,0.57573,0.84098,0.57925,0.51237,0.52197,1.39324,1.51469,0.00802,0.00802,0.00802
12,1379.76,0.19688,0.89139,0.92667,0.56906,0.83176,0.58654,0.56078,0.3372,1.26864,1.2246,0.007822,0.007822,0.007822
13,1481.1,0.18869,0.8817,0.92018,0.54966,0.79702,0.53955,0.49205,0.33269,1.6234,1.19782,0.007624,0.007624,0.007624
14,1584.18,0.17832,0.87198,0.91572,0.58731,0.85721,0.5668,0.52885,0.33677,1.26273,1.29895,0.007426,0.007426,0.007426
15,1686.05,0.17262,0.86166,0.91417,0.58626,0.83127,0.58828,0.56876,0.27294,1.36968,1.18167,0.007228,0.007228,0.007228
16,1798.16,0.16778,0.85365,0.91506,0.59206,0.83751,0.5971,0.57986,0.23541,1.34766,1.14278,0.00703,0.00703,0.00703
17,1901.77,0.16531,0.8547,0.90916,0.58316,0.82717,0.58355,0.57097,0.2106,1.42977,1.14612,0.006832,0.006832,0.006832
18,2002.9,0.1583,0.84133,0.90655,0.58116,0.80199,0.64105,0.63173,0.21626,1.51249,1.12757,0.006634,0.006634,0.006634
19,2104.37,0.15808,0.84115,0.90869,0.58263,0.82454,0.59126,0.58564,0.25891,1.58342,1.16129,0.006436,0.006436,0.006436
20,2206.12,0.15386,0.83855,0.90449,0.59246,0.82504,0.59475,0.57134,0.21466,1.49045,1.11554,0.006238,0.006238,0.006238
21,2307.59,0.14561,0.82339,0.90202,0.56171,0.83504,0.61249,0.59562,0.16984,1.40487,1.11333,0.00604,0.00604,0.00604
22,2427.67,0.14258,0.82368,0.901,0.59797,0.81193,0.63692,0.63007,0.15217,1.30397,1.09349,0.005842,0.005842,0.005842
