epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0914,1.18065,2.51279,2.8919,0.00492,1,0.37255,0.31107,1.22022,3.37006,3.96422,0.000550324,0.000550324,0.000550324
2,137.473,0.30493,1.12455,1.17996,0.33819,0.7156,0.42992,0.31892,1.0477,1.801,2.71186,0.000996497,0.000996497,0.000996497
3,191.863,0.18864,0.93401,1.00869,0.482,0.88435,0.56929,0.4881,0.7887,1.37402,2.6074,0.00133265,0.00133265,0.00133265
4,232.514,0.14356,0.84368,0.96495,0.45483,0.81935,0.56057,0.44529,0.91047,1.67915,2.81847,0.0011719,0.0011719,0.0011719
5,269.719,0.11699,0.80213,0.94633,0.58,0.84831,0.61195,0.49304,0.80203,1.29872,2.45905,0.00100687,0.00100687,0.00100687
6,306.918,0.09535,0.77632,0.93326,0.57316,0.82853,0.64457,0.54675,0.70622,1.10209,1.97193,0.000841835,0.000841835,0.000841835
7,343.88,0.08127,0.75411,0.92908,0.45191,0.80952,0.58339,0.46441,0.98635,1.63264,2.7052,0.000676802,0.000676802,0.000676802
8,380.908,0.07106,0.73563,0.92349,0.57472,0.82866,0.68824,0.56489,0.79097,1.16467,2.67858,0.000511769,0.000511769,0.000511769
9,417.791,0.06599,0.71774,0.91592,0.59228,0.79662,0.69183,0.59,0.72158,1.39142,1.97101,0.000346736,0.000346736,0.000346736
10,454.864,0.05292,0.70136,0.9162,0.49568,0.85151,0.71839,0.59629,0.77968,1.24346,2.21501,0.000181703,0.000181703,0.000181703
