epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.017,2.20698,3.07217,2.98865,0.23526,0.92091,0.24948,0.19467,0.8259,1.87579,1.77465,0.000555144,0.000555144,0.000555144
2,208.568,0.82089,1.95499,1.50992,0.21009,0.94955,0.31308,0.25191,0.83342,1.63906,1.86584,0.00108882,0.00108882,0.00108882
3,305.858,0.59243,1.7596,1.25512,0.20351,0.82626,0.33482,0.2824,0.67722,1.64093,1.53216,0.00160048,0.00160048,0.00160048
4,401.811,0.50055,1.69866,1.15884,0.23594,0.8669,0.36478,0.29112,0.70467,1.53204,1.54601,0.00156798,0.00156798,0.00156798
5,497.494,0.41378,1.63155,1.07924,0.34913,0.77923,0.44656,0.3757,0.56188,1.42756,1.42565,0.00153497,0.00153497,0.00153497
6,594.066,0.38518,1.60939,1.05573,0.27837,0.79474,0.4585,0.40221,0.55368,1.38272,1.41907,0.00150197,0.00150197,0.00150197
7,689.819,0.35622,1.56119,1.03212,0.42607,0.79757,0.48471,0.45061,0.38,1.56982,1.24327,0.00146896,0.00146896,0.00146896
8,786.946,0.327,1.51405,1.01222,0.4274,0.81397,0.51549,0.43974,0.45422,1.326,1.3195,0.00143595,0.00143595,0.00143595
9,883.123,0.30395,1.43603,0.99837,0.40228,0.83081,0.55943,0.48348,0.4788,1.27457,1.36774,0.00140295,0.00140295,0.00140295
10,980.46,0.28881,1.44656,0.98769,0.43703,0.82754,0.57566,0.50362,0.52674,1.16189,1.36725,0.00136994,0.00136994,0.00136994
11,1076.52,0.27592,1.39457,0.97962,0.46546,0.85177,0.55727,0.54013,0.27155,1.1846,1.14963,0.00133693,0.00133693,0.00133693
12,1262.06,0.26991,1.38568,0.97552,0.48615,0.73897,0.57958,0.53553,0.42556,1.13155,1.22834,0.00130393,0.00130393,0.00130393
13,1395.18,0.25783,1.39677,0.96805,0.39861,0.82584,0.56404,0.54175,0.32489,1.19986,1.1915,0.00127092,0.00127092,0.00127092
14,1757.38,0.24621,1.35364,0.96345,0.51357,0.85988,0.5895,0.4926,0.41189,1.18726,1.25292,0.00123791,0.00123791,0.00123791
