epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.32079,0.24171,2.86798,1.02383,0.60226,0.3813,0.70615,0.66356,0.31095,2.22946,1.56749,0.00014,0.00014,0.00014
2,4.62068,0.18878,2.51629,1.00324,0.60826,0.51893,0.69872,0.64152,0.35454,2.10013,1.70372,0.00028515,0.00028515,0.00028515
3,7.07813,0.20835,2.71427,0.98063,0.66339,0.65767,0.67706,0.59763,0.4296,1.90032,1.80238,0.00041446,0.00041446,0.00041446
4,9.25332,0.26887,2.61642,0.95348,0.66186,0.81651,0.65415,0.5723,0.43569,1.82875,1.77234,0.00052793,0.00052793,0.00052793
5,11.4503,0.20692,2.56953,0.95195,0.56258,0.75025,0.62402,0.56197,0.449,1.72537,1.75621,0.00062556,0.00062556,0.00062556
6,13.6026,0.22143,2.37036,0.93374,0.57875,0.83333,0.62065,0.55211,0.4405,1.65062,1.69724,0.00070735,0.00070735,0.00070735
7,16.1408,0.31257,2.00287,1.10657,0.55442,0.82973,0.59975,0.54257,0.4341,1.59216,1.65953,0.0007733,0.0007733,0.0007733
8,18.6611,0.28944,2.20948,0.97356,0.54954,0.91667,0.60184,0.54332,0.41817,1.55065,1.63332,0.00082341,0.00082341,0.00082341
9,20.8472,0.28848,2.10281,0.99086,0.58125,0.91667,0.63117,0.57252,0.39397,1.53211,1.58373,0.00085768,0.00085768,0.00085768
10,22.9576,0.31557,1.90229,0.98952,0.58125,0.91667,0.63117,0.57252,0.39397,1.53211,1.58373,0.00087611,0.00087611,0.00087611
11,25.2415,0.16608,1.02449,0.97729,0.62708,0.91667,0.66714,0.62368,0.38232,1.50002,1.56944,0.0008787,0.0008787,0.0008787
12,27.4097,0.18153,1.03495,0.99027,0.62708,0.91667,0.66714,0.62368,0.38232,1.50002,1.56944,0.00086545,0.00086545,0.00086545
13,29.7963,0.21777,0.97221,0.97759,0.65071,0.91667,0.68991,0.66854,0.37536,1.39795,1.59613,0.000812,0.000812,0.000812
14,32.0303,0.20028,1.28175,1.12902,0.65071,0.91667,0.68991,0.66854,0.37536,1.39795,1.59613,0.000713,0.000713,0.000713
15,34.4,0.13241,0.85649,0.93163,0.70294,1,0.70235,0.68157,0.35237,1.31707,1.52247,0.000614,0.000614,0.000614
16,36.9891,0.11233,0.9106,1.03697,0.70294,1,0.70235,0.68157,0.35237,1.31707,1.52247,0.000515,0.000515,0.000515
17,39.3328,0.11864,0.82517,0.97606,0.69402,1,0.75088,0.69656,0.3204,1.24627,1.44311,0.000416,0.000416,0.000416
18,42.1174,0.09799,0.77815,0.94736,0.69402,1,0.75088,0.69656,0.3204,1.24627,1.44311,0.000317,0.000317,0.000317
19,47.5688,0.10836,0.86534,0.98497,0.69552,1,0.72735,0.69419,0.29399,1.23602,1.35777,0.000218,0.000218,0.000218
20,50.0671,0.17373,0.84081,0.96694,0.69552,1,0.72735,0.69419,0.29399,1.23602,1.35777,0.000119,0.000119,0.000119
